piloto,volta_num,anom_num,tipo,ini_pct,fim_pct,t_ini_volta,t_fim_volta,t_sync_m
Humberto,0,1,A,6.406406406406407,7.6076076076076085,-100.040005,-0.010004999999992492,111.050005
Humberto,0,2,A,51.451451451451454,52.752752752752755,-100.040005,-0.010004999999992492,111.050005
Humberto,0,3,B,0.4004004004004004,3.4034034034034035,-100.040005,-0.010004999999992492,111.050005
Humberto,0,4,B,47.44744744744745,48.34834834834835,-100.040005,-0.010004999999992492,111.050005
Humberto,0,5,C,0.0,15.415415415415417,-100.040005,-0.010004999999992492,111.050005
Humberto,0,6,C,24.924924924924927,34.83483483483484,-100.040005,-0.010004999999992492,111.050005
Humberto,0,7,C,38.43843843843844,72.57257257257258,-100.040005,-0.010004999999992492,111.050005
Humberto,0,8,C,74.77477477477478,80.38038038038039,-100.040005,-0.010004999999992492,111.050005
Humberto,0,9,C,84.38438438438439,88.58858858858859,-100.040005,-0.010004999999992492,111.050005
Humberto,0,10,C,91.0910910910911,92.1921921921922,-100.040005,-0.010004999999992492,111.050005
Humberto,10,1,C,2.802802802802803,10.810810810810812,-5.000000001587068e-06,99.989995,111.050005
Humberto,10,2,C,11.711711711711713,17.51751751751752,-5.000000001587068e-06,99.989995,111.050005
Humberto,10,3,C,26.926926926926928,36.83683683683684,-5.000000001587068e-06,99.989995,111.050005
Humberto,10,4,C,39.23923923923924,72.47247247247248,-5.000000001587068e-06,99.989995,111.050005
Humberto,10,5,C,73.67367367367368,79.87987987987988,-5.000000001587068e-06,99.989995,111.050005
Humberto,10,6,C,81.68168168168168,83.08308308308308,-5.000000001587068e-06,99.989995,111.050005
Humberto,10,7,C,84.38438438438439,88.4884884884885,-5.000000001587068e-06,99.989995,111.050005
Humberto,20,1,B,58.45845845845846,59.55955955955956,99.99999500000001,200.089995,111.050005
Humberto,20,2,C,4.2042042042042045,16.616616616616618,99.99999500000001,200.089995,111.050005
Humberto,20,3,C,26.826826826826828,35.93593593593594,99.99999500000001,200.089995,111.050005
Humberto,20,4,C,39.43943943943944,60.06006006006007,99.99999500000001,200.089995,111.050005
Humberto,20,5,C,60.96096096096097,68.96896896896898,99.99999500000001,200.089995,111.050005
Humberto,20,6,C,69.96996996996998,80.48048048048048,99.99999500000001,200.089995,111.050005
Humberto,20,7,C,84.28428428428428,88.58858858858859,99.99999500000001,200.089995,111.050005
Rafa,0,1,A,6.806806806806807,7.6076076076076085,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,2,B,35.83583583583584,36.63663663663664,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,3,B,47.44744744744745,48.34834834834835,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,4,C,0.0,0.9009009009009009,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,5,C,1.8018018018018018,15.115115115115117,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,6,C,17.41741741741742,19.61961961961962,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,7,C,25.325325325325327,32.632632632632635,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,8,C,33.933933933933936,37.03703703703704,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,9,C,40.54054054054054,73.57357357357358,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,10,C,74.57457457457458,79.97997997997999,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,11,C,81.28128128128128,84.58458458458459,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,12,C,88.2882882882883,89.2892892892893,-95.53999999999999,-0.010000000000005116,105.75
Rafa,0,13,C,90.1901901901902,90.990990990991,-95.53999999999999,-0.010000000000005116,105.75
Rafa,10,1,B,67.06706706706707,68.46846846846847,0.0,95.53999999999999,105.75
Rafa,10,2,C,3.5035035035035036,11.611611611611613,0.0,95.53999999999999,105.75
Rafa,10,3,C,13.013013013013014,16.316316316316318,0.0,95.53999999999999,105.75
Rafa,10,4,C,17.117117117117118,17.91791791791792,0.0,95.53999999999999,105.75
Rafa,10,5,C,22.522522522522525,25.025025025025027,0.0,95.53999999999999,105.75
Rafa,10,6,C,26.426426426426428,30.730730730730734,0.0,95.53999999999999,105.75
Rafa,10,7,C,35.33533533533534,42.54254254254254,0.0,95.53999999999999,105.75
Rafa,10,8,C,44.44444444444445,53.753753753753756,0.0,95.53999999999999,105.75
Rafa,10,9,C,54.95495495495496,57.35735735735736,0.0,95.53999999999999,105.75
Rafa,10,10,C,58.25825825825826,60.16016016016017,0.0,95.53999999999999,105.75
Rafa,10,11,C,61.36136136136137,79.97997997997999,0.0,95.53999999999999,105.75
Rafa,20,1,A,62.26226226226227,63.16316316316317,95.55000000000001,191.89,105.75
Rafa,20,2,C,3.4034034034034035,14.314314314314315,95.55000000000001,191.89,105.75
Rafa,20,3,C,18.31831831831832,19.21921921921922,95.55000000000001,191.89,105.75
Rafa,20,4,C,21.921921921921925,25.825825825825827,95.55000000000001,191.89,105.75
Rafa,20,5,C,27.027027027027028,33.933933933933936,95.55000000000001,191.89,105.75
Rafa,20,6,C,40.84084084084084,60.06006006006007,95.55000000000001,191.89,105.75
Rafa,20,7,C,61.06106106106107,79.47947947947948,95.55000000000001,191.89,105.75
Rafa,20,8,C,85.08508508508508,87.2872872872873,95.55000000000001,191.89,105.75
Rafa,30,1,B,67.06706706706707,68.46846846846847,191.89999999999998,286.69,105.75
Rafa,30,2,C,3.2032032032032034,15.115115115115117,191.89999999999998,286.69,105.75
Rafa,30,3,C,26.526526526526528,34.93493493493494,191.89999999999998,286.69,105.75
Rafa,30,4,C,40.24024024024024,58.95895895895896,191.89999999999998,286.69,105.75
Rafa,30,5,C,59.75975975975976,68.76876876876878,191.89999999999998,286.69,105.75
Rafa,30,6,C,69.86986986986987,78.67867867867868,191.89999999999998,286.69,105.75
Rafa,30,7,C,86.18618618618619,87.8878878878879,191.89999999999998,286.69,105.75
Rafa,40,1,B,67.06706706706707,68.46846846846847,286.7,382.09,105.75
Rafa,40,2,C,3.3033033033033035,12.012012012012013,286.7,382.09,105.75
Rafa,40,3,C,13.913913913913914,15.415415415415417,286.7,382.09,105.75
Rafa,40,4,C,27.127127127127128,33.133133133133136,286.7,382.09,105.75
Rafa,40,5,C,34.134134134134136,36.83683683683684,286.7,382.09,105.75
Rafa,40,6,C,40.64064064064064,67.16716716716716,286.7,382.09,105.75
Rafa,40,7,C,68.06806806806807,72.37237237237238,286.7,382.09,105.75
Rafa,40,8,C,73.17317317317318,80.38038038038039,286.7,382.09,105.75
Rafa,40,9,C,85.58558558558559,87.18718718718719,286.7,382.09,105.75
Rafa,50,1,B,67.16716716716716,68.46846846846847,382.1,477.64,105.75
Rafa,50,2,B,85.58558558558559,86.38638638638639,382.1,477.64,105.75
Rafa,50,3,C,3.1031031031031033,17.31731731731732,382.1,477.64,105.75
Rafa,50,4,C,18.61861861861862,19.91991991991992,382.1,477.64,105.75
Rafa,50,5,C,26.126126126126128,34.73473473473474,382.1,477.64,105.75
Rafa,50,6,C,40.54054054054054,54.55455455455456,382.1,477.64,105.75
Rafa,50,7,C,55.55555555555556,67.36736736736736,382.1,477.64,105.75
Rafa,50,8,C,68.26826826826827,80.08008008008008,382.1,477.64,105.75
Rafa,50,9,C,84.68468468468468,87.8878878878879,382.1,477.64,105.75
Varela,0,1,A,27.82782782782783,31.031031031031034,-119.520004,-0.010004000000009228,143.650004
Varela,0,2,A,49.14914914914915,51.051051051051054,-119.520004,-0.010004000000009228,143.650004
Varela,0,3,A,53.453453453453456,56.65665665665666,-119.520004,-0.010004000000009228,143.650004
Varela,0,4,B,0.3003003003003003,1.1011011011011012,-119.520004,-0.010004000000009228,143.650004
Varela,0,5,B,16.416416416416418,18.11811811811812,-119.520004,-0.010004000000009228,143.650004
Varela,0,6,B,24.224224224224226,27.127127127127128,-119.520004,-0.010004000000009228,143.650004
Varela,0,7,B,35.83583583583584,39.83983983983984,-119.520004,-0.010004000000009228,143.650004
Varela,0,8,B,47.44744744744745,48.34834834834835,-119.520004,-0.010004000000009228,143.650004
Varela,0,9,B,58.45845845845846,59.55955955955956,-119.520004,-0.010004000000009228,143.650004
Varela,0,10,B,67.06706706706707,68.46846846846847,-119.520004,-0.010004000000009228,143.650004
Varela,0,11,B,73.57357357357358,74.97497497497498,-119.520004,-0.010004000000009228,143.650004
Varela,0,12,B,82.58258258258259,84.08408408408408,-119.520004,-0.010004000000009228,143.650004
Varela,0,13,B,89.0890890890891,90.0900900900901,-119.520004,-0.010004000000009228,143.650004
Varela,0,14,C,0.0,1.5015015015015016,-119.520004,-0.010004000000009228,143.650004
Varela,0,15,C,10.31031031031031,14.214214214214214,-119.520004,-0.010004000000009228,143.650004
Varela,0,16,C,16.216216216216218,19.61961961961962,-119.520004,-0.010004000000009228,143.650004
Varela,0,17,C,21.921921921921925,62.96296296296297,-119.520004,-0.010004000000009228,143.650004
Varela,0,18,C,63.96396396396397,90.8908908908909,-119.520004,-0.010004000000009228,143.650004
Varela,0,19,C,92.5925925925926,94.994994994995,-119.520004,-0.010004000000009228,143.650004
Varela,10,1,A,49.14914914914915,54.154154154154156,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,2,A,55.75575575575576,58.35835835835836,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,3,A,61.96196196196197,63.26326326326327,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,4,A,69.66966966966967,70.87087087087087,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,5,B,2.6026026026026026,3.4034034034034035,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,6,B,23.923923923923926,27.127127127127128,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,7,B,37.13713713713714,40.64064064064064,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,8,B,47.44744744744745,48.34834834834835,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,9,B,58.45845845845846,59.55955955955956,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,10,B,67.36736736736736,68.46846846846847,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,11,B,73.57357357357358,75.77577577577578,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,12,B,82.58258258258259,83.48348348348348,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,13,B,84.38438438438439,85.38538538538539,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,14,B,89.98998998999,91.4914914914915,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,15,C,1.9019019019019021,10.810810810810812,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,16,C,13.413413413413414,16.516516516516518,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,17,C,22.322322322322325,31.631631631631635,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,18,C,32.632632632632635,33.933933933933936,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,19,C,35.73573573573574,56.25625625625626,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,20,C,57.95795795795796,84.48448448448448,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,21,C,87.8878878878879,88.78878878878879,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,10,22,C,90.5905905905906,92.7927927927928,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,20,1,C,2.2022022022022023,11.111111111111112,130.39999600000002,239.039996,143.650004
Varela,20,2,C,15.015015015015017,19.71971971971972,130.39999600000002,239.039996,143.650004
Varela,20,3,C,26.426426426426428,31.931931931931935,130.39999600000002,239.039996,143.650004
Varela,20,4,C,39.83983983983984,42.64264264264264,130.39999600000002,239.039996,143.650004
Varela,20,5,C,43.84384384384385,46.04604604604605,130.39999600000002,239.039996,143.650004
Varela,20,6,C,47.14714714714715,74.17417417417418,130.39999600000002,239.039996,143.650004
Varela,20,7,C,74.97497497497498,79.87987987987988,130.39999600000002,239.039996,143.650004
Varela,20,8,C,81.38138138138139,83.18318318318319,130.39999600000002,239.039996,143.650004
Varela,20,9,C,85.28528528528528,87.4874874874875,130.39999600000002,239.039996,143.650004
Varela,20,10,C,88.2882882882883,90.5905905905906,130.39999600000002,239.039996,143.650004
Varela,20,11,C,91.6916916916917,93.1931931931932,130.39999600000002,239.039996,143.650004
